geo,name,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
est,Estonia,-8.7187,-33.81108,-45.91139,-44.3766,-49.33606,-46.87051,-47.96969,-52.85976,-56.59265,-55.99115,-55.02189,-56.94773,-51.80212,-50.86022,-50.92303,-52.59864,-43.61933,-49.00352,-57.42235,-45.40081,-45.10803,-48.0206,-41.9655,-44.48196,-49.36949,-49.39786,-46.25001,-43.37265,-62.75007,-70.92298,-68.82416,-68.11831,-71.03543
eth,Ethiopia,-0.94689,-22.43264,-1.2488,14.1805,29.28045,45.77558,52.45872,62.00082,59.90119,77.30204,118.97443,125.09492,140.59284,162.11518,150.28132,164.98788,190.403,213.89689,215.89589,214.5556,264.08216,311.08824,377.66342,467.43058,517.97722,633.34248,625.89543,698.92045,761.32382,672.03239,690.31609,656.55734,664.2697
fin,Finland,1.21911,-3.7909,-1.52415,10.43924,4.49561,15.49745,11.59539,5.90095,4.75441,2.31886,13.07329,16.89763,31.78268,25.30687,3.59186,24.24037,21.0649,6.40716,1.51899,17.11267,3.54953,-6.93934,-5.14803,-12.06674,-18.23235,-13.19424,-18.05092,-15.62872,-21.48804,-29.80461,-29.8553,-35.69417,-42.60399
fji,Fiji,-12.17734,-1.42857,6.75862,11.66502,10.70936,16.05911,19.87192,18.83744,27.34975,43.90148,55.87192,28.82759,49.86207,94.93596,70.48276,83.28079,69.81281,27.21182,4.71921,67.08374,22.64039,18.6601,35.22167,53.59606,59.25123,56.82759,72.39409,81.78325,88.97537,90.62069,99.81281,110.69951,117.78325
fra,France,6.50556,3.02565,-2.0736,-3.18419,-0.83533,2.97709,0.83108,6.54065,4.9036,4.13713,5.2097,3.79955,5.07968,5.35868,5.94219,3.15463,1.29815,-0.58865,-3.86639,-1.94984,-5.43982,-4.96615,-6.30194,-14.84253,-13.57407,-12.84916,-11.92046,-14.70177,-16.22742,-25.423,-17.09109,-19.41851,-26.694
gab,Gabon,-20.04829,-19.43252,-17.63705,-18.235,-8.11039,2.61704,-1.98182,12.18421,6.78809,7.00685,9.2285,4.87271,18.97393,7.35201,3.565,-7.52864,-16.14299,-10.5751,-11.71266,-3.46454,-5.70563,-4.56969,-1.53133,1.53943,4.35903,5.32968,-8.82177,-14.80125,-11.86498,-13.96023,-16.7458,-12.57636,-20.16172
gbr,UK,1.56818,-0.71548,-3.47168,-4.7608,-5.88422,-2.57316,-6.1573,-6.0522,-6.63355,-5.26648,-3.33829,-6.08623,-3.76441,-3.67668,-3.95308,-3.87949,-5.51564,-8.3457,-16.99799,-14.03291,-21.1783,-17.37085,-19.26288,-26.07591,-28.5899,-32.45564,-34.52631,-35.9112,-38.63944,-45.21933,-41.70243,-43.76899,-48.12332
geo,Georgia,-22.84362,-39.33902,-51.44367,-68.33805,-75.29749,-80.00226,-82.46309,-84.09465,-85.82712,-84.88738,-88.75361,-89.58432,-88.53267,-87.50594,-85.56645,-83.52953,-80.8785,-83.53156,-81.24152,-81.75502,-78.01406,-76.01715,-73.48123,-71.47679,-69.1331,-68.03679,-67.6152,-67.71523,-65.43823,-66.52121,-64.77888,-63.36768,-62.70166
gha,Ghana,-7.28521,9.46024,12.92878,20.20441,29.1664,40.17566,47.45768,100.24912,118.5404,94.3756,109.93932,147.57266,132.48483,117.20217,129.56563,178.54998,194.19674,179.34845,220.89428,259.24944,287.47046,367.58863,397.06484,379.00671,404.26381,417.19898,441.81092,511.06356,545.206,607.40977,698.77036,691.7183,671.75982
gin,Guinea,-2.93993,-12.98646,-10.31091,-8.88325,-7.1912,-3.83883,-2.74958,0.68739,4.16667,55.56261,65.63029,78.60618,88.72673,93.45389,85.48012,98.2445,104.69543,118.94036,131.93739,166.64552,183.02665,169.02496,142.9357,151.59687,200.88832,238.71616,239.75254,243.34814,264.44585,280.82699,288.43063,302.79188,292.91455
gmb,Gambia,24.69338,6.0507,11.1202,27.55519,21.66803,26.24693,26.3287,37.12183,41.21014,119.29681,142.10957,151.59444,155.60098,166.55765,170.89125,202.94358,215.53557,220.7686,255.76451,261.97874,282.42028,268.19297,269.41946,296.40229,312.34669,315.6991,318.88798,322.81276,357.39984,380.21259,388.55274,410.30253,395.33933
gnb,Guinea-Bissau,25.3112,12.21103,20.62833,20.2134,23.5329,22.22881,28.15649,30.64612,34.49911,20.15412,24.5406,31.59455,55.48311,59.81031,63.36692,73.02905,81.80202,73.62181,83.75815,86.89982,90.45643,92.47184,97.86603,102.84529,113.0409,122.34736,78.0083,79.07528,89.80439,98.87374,102.3118,111.32187,105.09781
gnq,Equatorial Guinea,4.21941,4.21941,8.57947,1604.21941,1710.54852,1880.16878,2623.20675,3211.11111,3518.5654,3760.19691,4964.13502,4417.86217,4950.07032,8732.48945,8895.35865,8882.13783,9937.1308,9192.12377,7604.36006,7939.24051,8274.12096,7769.33896,7949.64838,7942.05345,7504.64135,7479.88748,6773.41772,6485.9353,6306.61041,6185.51336,6029.67651,5752.60197,5211.95499
